,index,title,price,deal,location,shop,url,profit,tmall,mall,brand,pricelevel,province,city
0,0.0,兰蔻菁纯柔润丝缎唇膏口红滋润显色持久易上色 180王俊凯亲选,270.0,7863.0,上海,lancome兰蔻官方旗舰店,//detail.tmall.com/item.htm?id=537286782401&ali_refid=a3_430583_1006:1110397434:N:%E5%8F%A3%E7%BA%A2:dde823d70b883fc576e3c81c861867f0&ali_trackid=1_dde823d70b883fc576e3c81c861867f0,2123010.0,天猫,商家,兰蔻,260-280,上海,上海
1,1.0,MAC/魅可全色号正品子弹头口红唇膏 持久保湿防水 chili小辣椒,170.0,97376.0,浙江 杭州,mac魅可官方旗舰店,//detail.tmall.com/item.htm?id=546724870335&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=13,16553920.0,天猫,商家,MAC/魅可,160-180,浙江, 杭州
2,2.0,【官方正品】YSL圣罗兰纯口红方管正红色橘色梅子色奶茶裸色唇膏,320.0,22270.0,江苏 苏州,ysl圣罗兰美妆官方旗舰店,//detail.tmall.com/item.htm?id=563831523476&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=13,7126400.0,天猫,商家,ysl/圣罗兰,320-340,江苏, 苏州
3,3.0,【直营】KAREN MURRELL KM天然口红唇膏 润唇膏,129.0,760.0,浙江 杭州,天猫国际官方直营,//detail.tmall.com/item.htm?id=547768084473&ns=1&abbucket=13,98040.0,天猫,商家,其他,120-140,浙江, 杭州
4,4.0,【直营】Tom ford汤姆福特限量白管口红3g,399.0,231.0,浙江 杭州,天猫国际官方直营,//detail.tmall.com/item.htm?id=554918834370&ns=1&abbucket=13,92169.0,天猫,商家,Ford/福特,380-400,浙江, 杭州
5,5.0,Dior/迪奥全新烈艳蓝金唇膏3.5g口红520/999/080哑光滋润豆沙色,228.0,21335.0,北京,碧凡化妆品专营店,//detail.tmall.com/item.htm?id=35865469573&ns=1&abbucket=13,4864380.0,天猫,商家,Dior/迪奥,220-240,北京,北京
6,6.0,【官方正品】纪梵希小羊皮口红高定香榭天鹅绒唇膏持久滋润,355.0,30962.0,上海,givenchy纪梵希官方旗舰店,//detail.tmall.com/item.htm?id=563426935475&ns=1&abbucket=13,10991510.0,天猫,商家,Givenchy/纪梵希,340-360,上海,上海
7,7.0,Chanel/香奈儿炫亮魅力唇膏3.5g 丝绒口红42 43 58 多色可选,265.0,4205.0,北京,睿美姿化妆品专营店,//detail.tmall.com/item.htm?id=44402438999&ns=1&abbucket=13,1114325.0,天猫,商家,Chanel/香奈儿,260-280,北京,北京
8,8.0,【官方正品】阿玛尼红管口红丝绒哑光唇釉 滋润持久豆沙色番茄405,310.0,25846.0,江苏 苏州,阿玛尼美妆官方旗舰店,//detail.tmall.com/item.htm?id=562217798988&ns=1&abbucket=13,8012260.0,天猫,商家,其他,300-320,江苏, 苏州
9,9.0,迪奥口红正品专柜dior旗舰店官方999/888/740/520持久保湿不脱色,216.0,3565.0,香港 新界,依时国际化妆品海外专营店,//detail.tmall.com/item.htm?id=565846749121&ns=1&abbucket=13,770040.0,天猫,商家,Dior/迪奥,200-220,香港, 新界
12,13.0,Chanel/香奈儿炫亮魅力丝绒唇膏3.5g口红43 42 豆沙色,269.0,7512.0,北京,碧凡化妆品专营店,//detail.tmall.com/item.htm?id=43162747996&ns=1&abbucket=13,2020728.0,天猫,商家,Chanel/香奈儿,260-280,北京,北京
14,15.0,【官方正品】YSL圣罗兰莹亮纯魅唇膏圆管口红南瓜色西柚色斩男色,320.0,21894.0,江苏 苏州,ysl圣罗兰美妆官方旗舰店,//detail.tmall.com/item.htm?id=563581324792&ns=1&abbucket=13,7006080.0,天猫,商家,ysl/圣罗兰,320-340,江苏, 苏州
15,16.0,第2支半价 vnk口红持久保湿不易脱色 唇膏 梅子204 滋润203,79.0,25004.0,上海,vnk旗舰店,//detail.tmall.com/item.htm?id=555555176591&ns=1&abbucket=13,1975316.0,天猫,商家,其他,60-80,上海,上海
16,17.0,卡姿兰口红持久保湿不脱色韩国防水不沾杯学生款抖音同款星空正品,109.0,18010.0,北京,卡姿兰宏达美景专卖店,//detail.tmall.com/item.htm?id=554580806157&ns=1&abbucket=13,1963090.0,天猫,商家,其他,100-120,北京,北京
18,19.0,美宝莲小灯管唇膏纵情耀 23号水红色烟熏玫瑰豆沙色保湿滋润口红,109.0,14912.0,上海,美宝莲旗舰店,//detail.tmall.com/item.htm?id=557257278219&ns=1&abbucket=13,1625408.0,天猫,商家,Maybelline/美宝莲,100-120,上海,上海
19,20.0,卡姿兰口红持久保湿不脱色韩国防水不沾杯学生滋润唇膏官方正品女,55.0,7730.0,江苏 南京,卡姿兰恋尚专卖店,//detail.tmall.com/item.htm?id=42570259611&ns=1&abbucket=13,425150.0,天猫,商家,其他,40-60,江苏, 南京
22,23.0,MAC/魅可当季潮色 正品子弹头口红唇膏mocha/dareyou/lady danger,170.0,19341.0,浙江 杭州,mac魅可官方旗舰店,//detail.tmall.com/item.htm?id=558803677297&ns=1&abbucket=13,3287970.0,天猫,商家,MAC/魅可,160-180,浙江, 杭州
27,28.0,【官方正品】纪梵希禁忌之吻霓虹唇膏口红不脱色 持久滋润 N11,320.0,6025.0,上海,givenchy纪梵希官方旗舰店,//detail.tmall.com/item.htm?id=563506345238&ns=1&abbucket=13,1928000.0,天猫,商家,Givenchy/纪梵希,320-340,上海,上海
