,name,rank
0,一品生活1983,2皇冠
1,思琪全球美妆铺,4皇冠
2,韩韩护肤美妆,3皇冠
3,小也香水 美妆馆,其他
4,SS小屋金牌卖家全球购,5皇冠
5,许如花的英国买手店,1皇冠
6,达达妈咪生活馆,1金皇冠
7,问妆化妆品,1金皇冠
8,莉蒂雅Lydia,2金皇冠
9,五花肉小粗腿儿,1皇冠
11,Mia的私享海淘屋,5皇冠
12,小茹彩妆铺,2皇冠
13,美奇氏化妆品,其他
14,YIKA FASHION,5钻
38,青青de小店,1皇冠
39,See C 英國化妝品代購,2皇冠
40,花相公美妆,其他
42,nice老庄 彩妆代购,2皇冠
43,稚优泉美妆品店,其他
44,MUMU妈咪只售正品,3皇冠
45,Lily姐代购,2皇冠
46,朱朱猪猪美妆全球购,3皇冠
48,巨大猫咪酱,2皇冠
49,有Bigger的代购,1皇冠
50,叶彬儿彩妆护肤,2金皇冠
51,秋子mm 美妆全球购,1金皇冠
52,海外直通车 英伦优品,2皇冠
80,SU3只卖自己使用,1金皇冠
81,essonmama全球购,4皇冠
82,树琳名妆,2金皇冠
83,开名,1金皇冠
84,靓丽韩妆只售韩国正品 主营3CE彩妆,1金皇冠
85,阿健美妆日上代购,3皇冠
86,MSee Collection,其他
87,Candy莫斯科代购,4皇冠
88,欧美名牌化妆品折扣店,4皇冠
89,居然有人做加拿大代购,1皇冠
90,DELANCI露凝香,其他
91,糖糖颜究所,2皇冠
92,阿凝日韩人肉代go,4皇冠
93,美宝莲美妆,5钻
94,巴巴爸爸 Barpa 护肤美妆,其他
95,肥班班,1皇冠
96,kate spade大中华区带盐人,其他
97,彩妆新势力,其他
98,虫虫家 阿玛尼 圣罗兰 迪奥 雅诗兰黛 兰蔻 纪梵希 萝卜丁 免税店,4皇冠
99,纯天然炫彩口红工作室,5钻
100,聚韩优品JOJO家,3皇冠
101,先生家,5皇冠
102,橘子家韩妆,3皇冠
103,归圃,5钻
104,小美全球奢侈品代购,5皇冠
105,小怪兽的代购小铺 每周六晚20点30上新直播,4皇冠
106,SY希腊小屋,3皇冠
107,西西靓妆世界小铺,2金皇冠
108,温馨名妆,1金皇冠
109,喵喵美人屋,5皇冠
110,伊人口红店,其他
111,JC shop 代购,3皇冠
112,橘子味的港代猫,2皇冠
113,宝仔妈妈美国购,5钻
114,宝岛双鱼妈美妆购,2皇冠
115,烨淘美妆全球购,2皇冠
116,老菇凉杂货铺,其他
117,日本和英国的吃土少女,其他
118,广东仪器网,其他
119,晓飞姐姐全球购,5钻
120,浅草风Asakusa 专柜正品,2金皇冠
121,Evan 伊梵 创意礼品,其他
122,SWEET KR 甜甜美妆,其他
123,西瓜小姐全球购,其他
124,Mirror酱東京代购,5钻
125,LU'S英国代购,2皇冠
126,香港珍品廊,4皇冠
127,尖儿货美妆店,2皇冠
128,蝶妖化妆品－不变的是坚持正货的初心,5皇冠
129,猫小乖韩国购,4皇冠
130,妞妞蛋蛋全球购,5皇冠
131,野孩子的批发店,1金皇冠
132,不凡美妆馆,2皇冠
133,贝拉全球正品代购,2皇冠
134,艾睿麻麻全球购,2皇冠
135,浮云美妆,5皇冠
136,莹莹纤女美容中心,其他
137,BABY FACE 日本高端睫毛店,1皇冠
138,映姿化妆品,其他
139,很厉害的代购,5皇冠
140,香草小姐全球购,其他
141,法国小小辣妈全球购,其他
142,TF海淘之家,5皇冠
143,阿芙精油正品折扣店,5钻
144,失落的谷雨,5皇冠
145,蜜恩熙免税店直购,3皇冠
146,宋小兔俄罗斯代购,3皇冠
147,H家代购,5皇冠
148,BOOMBOOM美妆,4皇冠
149,美妍小铺免税店代购,其他
150,曼妹在香港,2皇冠
151,梨涡娘娘,2皇冠
152,风筝法国美妆,4皇冠
153,GTT韩国代购小铺 4月20日飞韩国,1皇冠
154,丸子头的韩妆店,4皇冠
155,柠檬黄代购,其他
156,UU的舶来品,1皇冠
157,方恰拉的美妆店,5皇冠
158,魅力银座日妆代购,5皇冠
159,胖妹的海淘代购店,5钻
